sido,sigungu,region_full,승용,승합,특수,화물,총계
강원,강릉시,강원 강릉시,5724567,194240,48827,1179352,7146986
강원,고성군,강원 고성군,706403,32522,5290,247362,991577
강원,동해시,강원 동해시,2403274,88724,22816,451126,2965940
강원,삼척시,강원 삼척시,1595223,63214,11101,424747,2094285
강원,속초시,강원 속초시,2082881,79451,14236,348701,2525269
강원,양구군,강원 양구군,534222,23522,4382,209009,771135
강원,양양군,강원 양양군,752014,28594,6540,258062,1045210
강원,영월군,강원 영월군,912855,47260,10243,386867,1357225
강원,원주시,강원 원주시,9672295,302304,60688,1740389,11775676
강원,인제군,강원 인제군,871709,35337,7247,309687,1223980
강원,정선군,강원 정선군,884229,44283,9050,388619,1326181
강원,철원군,강원 철원군,1032717,48256,6830,435182,1522985
강원,춘천시,강원 춘천시,7360737,242727,55079,1294330,8952873
강원,태백시,강원 태백시,988943,48569,9856,215150,1262518
강원,평창군,강원 평창군,1068459,55865,9110,531093,1664527
강원,홍천군,강원 홍천군,1688771,96835,14150,736835,2536591
강원,화천군,강원 화천군,593565,24438,5316,206538,829857
강원,횡성군,강원 횡성군,1183203,59283,10642,532905,1786033
경기,가평군,경기 가평군,1523161,81988,11551,416402,2033102
경기,고양시 덕양구,경기 고양시 덕양구,10335132,282468,40934,1314670,11973204
경기,고양시 일산동구,경기 고양시 일산동구,7046161,197221,30874,913904,8188160
경기,고양시 일산서구,경기 고양시 일산서구,6437035,164336,20811,651092,7273274
경기,과천시,경기 과천시,1758185,40182,5732,147232,1951331
경기,광명시,경기 광명시,5521818,175118,23998,766401,6487335
경기,광주시,경기 광주시,10216652,448570,60899,2140916,12867037
경기,구리시,경기 구리시,3738157,117532,20134,593837,4469660
경기,군포시,경기 군포시,5294131,144510,26414,781944,6246999
경기,김포시,경기 김포시,12174883,411218,81986,2104511,14772598
경기,남양주시,경기 남양주시,16138416,519712,92452,2953545,19704125
경기,동두천시,경기 동두천시,1965016,82224,9639,368257,2425136
경기,부천시,경기 부천시,7236531,279942,31052,1154523,8702048
경기,부천시 소사구,경기 부천시 소사구,2393097,68639,11120,302170,2775026
경기,부천시 오정구,경기 부천시 오정구,1694616,72686,11679,364968,2143949
경기,부천시 원미구,경기 부천시 원미구,4204186,129878,18416,607206,4959686
경기,성남시 분당구,경기 성남시 분당구,10985925,234160,32029,590088,11842202
경기,성남시 수정구,경기 성남시 수정구,4300148,143545,19832,543989,5007514
경기,성남시 중원구,경기 성남시 중원구,3868190,152000,20071,634571,4674832
경기,수원시 권선구,경기 수원시 권선구,11114052,387640,66590,1409978,12978260
경기,수원시 영통구,경기 수원시 영통구,8643274,142516,22579,497080,9305449
경기,수원시 장안구,경기 수원시 장안구,5817869,204513,20870,627766,6671018
경기,수원시 팔달구,경기 수원시 팔달구,4394833,155702,16857,505622,5073014
경기,시흥시,경기 시흥시,13446379,421898,68515,2605419,16542211
경기,안산시 단원구,경기 안산시 단원구,8396079,380893,43410,1616654,10437036
경기,안산시 상록구,경기 안산시 상록구,7454538,282573,47072,1264533,9048716
경기,안성시,경기 안성시,5580554,222679,72615,1354889,7230737
경기,안양시 동안구,경기 안양시 동안구,6989109,174153,29490,814402,8007154
경기,안양시 만안구,경기 안양시 만안구,4554741,191777,18524,648995,5414037
경기,양주시,경기 양주시,6554813,257664,42503,1331455,8186435
경기,양평군,경기 양평군,3164155,143996,21722,790238,4120111
경기,여주시,경기 여주시,3158006,168009,40008,1230857,4596880
경기,연천군,경기 연천군,1081653,60732,38397,645931,1826713
경기,오산시,경기 오산시,6314421,205920,28593,778731,7327665
경기,용인시 기흥구,경기 용인시 기흥구,11120022,255505,44005,917711,12337243
경기,용인시 수지구,경기 용인시 수지구,8634865,122762,15386,377996,9151009
경기,용인시 처인구,경기 용인시 처인구,7303971,330204,66645,1581868,9282688
경기,의왕시,경기 의왕시,3607936,95012,27424,480147,4210519
경기,의정부시,경기 의정부시,9149160,315840,47166,1266926,10779092
경기,이천시,경기 이천시,6119459,252562,59737,1388324,7820082
경기,파주시,경기 파주시,12661397,496554,56902,2215765,15430618
경기,평택시,경기 평택시,17209386,605483,114735,2591169,20520773
경기,포천시,경기 포천시,4279466,220156,43552,1408687,5951861
경기,하남시,경기 하남시,7304459,180319,28730,1074828,8588336
경기,화성시,경기 화성시,23225549,712269,119205,3758945,27815968
경기,화성시 동탄구,경기 화성시 동탄구,1328705,17007,4251,70244,1420207
경기,화성시 만세구,경기 화성시 만세구,949947,31995,7471,269936,1259349
경기,화성시 병점구,경기 화성시 병점구,528507,18350,2335,57884,607076
경기,화성시 효행구,경기 화성시 효행구,546907,16122,3569,109182,675780
경남,거제시,경남 거제시,5751010,206713,28285,753091,6739099
경남,거창군,경남 거창군,1467778,66216,15713,577399,2127106
경남,고성군,경남 고성군,1185959,52414,11486,456972,1706831
경남,김해시,경남 김해시,14663903,419140,81688,2729274,17894005
경남,남해군,경남 남해군,866627,42512,5992,388217,1303348
경남,밀양시,경남 밀양시,2621958,101118,48982,982033,3754091
